ID,Generation,TimeAlive,Distance,EnergyConsumed
Ameba_3aa1,0,3.08,12.32,0.00
Ameba_3fec,0,2.84,11.31,0.00
Ameba_582f,0,2.69,11.81,0.00
Ameba_6155,0,3.02,11.35,0.00
Ameba_99b2,0,2.89,8.21,20.00
Ameba_b70b,0,2.90,10.76,0.00
Ameba_fc1b,0,2.81,12.44,0.00
Ameba_0c3b,1,2.98,9.17,0.00
Ameba_0cc4,0,27.09,94.14,150.00
Ameba_5084,0,24.13,72.55,60.00
Ameba_8195,0,26.60,80.93,80.00
Ameba_d4a5,0,27.07,89.07,0.00
Ameba_dd1c,1,16.27,42.39,30.00
Ameba_dd9c,0,26.37,42.97,180.00
Ameba_f36a,0,5.68,19.96,40.00
Ameba_fe10,0,27.09,92.12,0.00
